Designator,Footprint,Quantity,Value,LCSC Part #
"AT0, AT1, AT2, AT3",QFN50P300X300X90-17N,4,RFSA3713TR7,
"C1, C10, C101, C13, C14, C2, C20, C4, C61, C62, C68, C94, C95",0402,13,0.1uF,
"C100, C103, C106, C107, C108, C12, C17, C18, C19, C22, C25, C26, C27, C38, C39, C40, C65, C66, C67, C7, C70, C73, C74, C75, C8, C9, C98, C99",0402,28,1.3 pF,
"C102, C11, C115, C120, C15, C16, C21, C3, C35, C5, C6, C63, C64, C69, C83, C96, C97",0402,17,100pF,
"C104, C23, C36, C71",0402,4,470p,
"C105, C24, C37, C72",0402,4,1uF,
"C109, C110, C126, C127, C129, C130, C141, C149, C28, C29, C56, C57, C76, C77, C89, C90",0402,16,22 pF,
"C111, C132, C30, C41, C50, C60, C78, C93",0402,8,18 pF,
"C112, C113, C116, C125, C31, C55, C79, C88",0402,8,18pF,
"C114, C121, C51, C84",0402,4,10uF,
"C117, C119, C128, C133, C134, C32, C34, C42, C44, C48, C58, C80, C82, C91",0402,14,1 uF,
"C118, C122, C123, C124, C131, C33, C43, C45, C46, C47, C49, C52, C53, C54, C59, C81, C85, C86, C87, C92",0402,20,100 pF,
"C135, C137, C140, C142",0805,4,10 uF,
C136,0603,1,2.2 uF,
C138,0603,1,1 uF,
C139,0805,1,47 uF,
"C143, C144, C145",0603,3,1uF,
"CPL0, CPL1, CPL2, CPL3",BDCA11040,4,BDCA1-10-40+,
"CPL_PORT0, CPL_PORT1, CPL_PORT2, CPL_PORT3",SMA_Amphenol_901-144_Vertical,4,Conn_Coaxial,
DEVICE_ID1,0805,1,LED,
"IC1, IC2, IC3",QFN51P300X300X99-13N,3,GP2Y1+,
"J0, J1, J2, J3, RF_IN1",LINX_CONSMA022-G,5,CONSMA022-G,
"J10, J11, J4, J5, J6, J7, J8, J9",MM80302610RJ3,8,MM8030-2610RJ3,
J18,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08,
J19,694106301002_1,1,694106301002,
JP1,PinHeader_1x11_P2.54mm_Vertical,1,FT232H_header_bottom,
JP2,PinHeader_1x11_P2.54mm_Vertical,1,FT232H_header_top,
"L1, L10, L12, L13, L14, L15, L17, L18, L2, L20, L21, L22, L23, L24, L25, L27, L28, L3, L30, L31, L32, L34, L35, L36, L38, L39, L4, L5, L6, L7, L8, L9",0201,32,L_Ferrite,
"L11, L19, L29, L40",0603,4,12 nH,
"L16, L26, L33, L37",0603,4,12nH,
LDO_1V8,SOT95P280X100-5N,1,ADPL40502AUJZ-1.8-R7,
LDO_NEG5,QFN65P400X400X80-17N-D,1,ADP5600ACPZ-R7,
LDO_POS5,QFN65P500X500X100-21N-D,1,TPS7A4701RGWT,
"LNA0, LNA1, LNA2, LNA3",QFN51P300X300X89-13N,4,PMA3-63GLN+,
"PA0, PA1, PA2, PA3",QPA9122TR7,4,QPA9122TR7,
"PS0, PS1, PS2, PS3",QFN50P400X400X100-25N-D,4,MAPS-010164-TR0500,
"R1, R2",0402,2,1M,
"R10, R11, R3, R5, R6, R7, R8, R9",0402,8,0,
"R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R27, R28, R30, R31, R33, R34, R35, R36, R37, R4, R40, R41, R42, R43, R44, R45, R46, R47, R50",0402,32,50,
"R25, R29, R38, R48",0402,4,8.2,
"R26, R32, R39, R49",0402,4,51,
"R51, R52, R53, R54, R55, R56, R57, R58",0402,8,20k,
R59,0402,1,10k,
R60,0402,1,100,
"SW00, SW01, SW10, SW11, SW20, SW21, SW30, SW31",QFN50P300X300X90-17N-D,8,PE42423B-Z,
U1,SOIC127P780X200-16N,1,SN74HCT138NSR,
